"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_88"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_89"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_90"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_91"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_92"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_93"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_94"	0	1	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_95"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_96"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_97"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_98"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_99"	0	10	4	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_100"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_101"	0	1	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_102"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_103"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_104"	0	1	8	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_105"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_106"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_107"	0	1	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_108"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_109"	0	1	5	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_110"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_111"	0	0	3	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_112"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_113"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_114"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_115"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_116"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_117"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_118"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_119"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_120"	0	0	3	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_121"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_122"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_123"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_124"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_125"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_126"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_127"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_128"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_129"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_130"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_131"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_132"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_133"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_134"	0	0	0	0	0	0	1	0
